prenom;nom;login;"ECTS acquis";Moyenne;"Choix 1";"Choix 2";"Choix 3";"Choix 4";"Choix 5";"Choix 6";password;pseudo;"profile picture";"birth date";adress;"attributed option";"pseudo bloquee"
Franck;Gonzalez;FranckGonzalez@cy-tech.fr;30;11,989;"DS ";"IAC ";"FT ";"BI ";"IAP ";HPDA;8Pv003;Franck.Gonzalez;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;DS;
Frédérique;Guilbert;FrédériqueGuilbert@cy-tech.fr;30;11,878;"DS ";"IAC ";"FT ";"BI ";"IAP ";HPDA;dh3h8m;Frédérique.Guilbert;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;DS;
Margot;Aubert;MargotAubert@cy-tech.fr;30;11,681;"DS ";"IAC ";"FT ";"IAP ";"BI ";HPDA;g0Avfd;Margot.Aubert;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;DS;
Robert;de;Robertde@cy-tech.fr;15;11,16;"FT ";"DS ";"BI ";"HPDA ";"IAC ";IAP;hVOAeP;Robert.de;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;FT;
Adélaïde;Menard-Perrier;AdélaïdeMenard-Perrier@cy-tech.fr;15;10,837;"DS ";"FT ";"BI ";"IAC ";"HPDA ";IAP;spJ2Fs;Adélaïde.Menard-Perrier;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;BI;
Henri;Pasquier-Pierre;HenriPasquier-Pierre@cy-tech.fr;15;10,517;"FT ";"DS ";"IAC ";"BI ";"HPDA ";IAP;fgM9xo;Henri.Pasquier-Pierre;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;FT;
Nath;Rolland;NathRolland@cy-tech.fr;15;10,45;"IAC ";"DS ";"FT ";"BI ";"IAP ";HPDA;H3NV90;Nath.Rolland;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;IAC;
Alexandrie;Sanchez;AlexandrieSanchez@cy-tech.fr;15;10,417;"FT ";"DS ";"BI ";"IAC ";"IAP ";HPDA;2baRsr;Alexandrie.Sanchez;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;FT;
Martin;Masson;MartinMasson@cy-tech.fr;15;10,401;"IAC ";"DS ";"FT ";"BI ";"IAP ";HPDA;sz@07L;Martin.Masson;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;IAC;
André;Ramos;AndréRamos@cy-tech.fr;15;10,313;"HPDA ";"IAC ";"IAP ";"DS ";"BI ";FT;H@pdgU;André.Ramos;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;HPDA;
Adrienne;Pinto;AdriennePinto@cy-tech.fr;15;10,269;"FT ";"DS ";"IAP ";"HPDA ";"IAC ";BI;ur98k2;Adrienne.Pinto;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;FT;
Alain;Hernandez;AlainHernandez@cy-tech.fr;15;9,884;"DS ";"IAP ";"IAC ";"HPDA ";"FT ";BI;mt5e0K;Alain.Hernandez;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;DS;
Véronique;Techer;VéroniqueTecher@cy-tech.fr;15;10,178;"DS ";"FT ";"BI ";"IAC ";"HPDA ";IAP;qro@NV;Véronique.Techer;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;BI;
Thibaut;de;Thibautde@cy-tech.fr;15;10,135;"FT ";"BI ";"DS ";"IAC ";"HPDA ";IAP;Azdqxk;Thibaut.de;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;FT;
Mathilde;Camus;MathildeCamus@cy-tech.fr;0;0;"IAP ";"HPDA ";"IAC ";"BI ";"FT ";DS;A3o6aX;Mathilde.Camus;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;IAP;
Simone;Marty;SimoneMarty@cy-tech.fr;15;10,098;"IAC ";"DS ";"FT ";"BI ";"IAP ";HPDA;OIj2H9;Simone.Marty;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;IAC;
Geneviève;Hoarau;GenevièveHoarau@cy-tech.fr;15;9,816;"DS ";"HPDA ";"IAP ";"IAC ";"BI ";FT;eYwsPR;Geneviève.Hoarau;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;DS;
Daniel;Mallet;DanielMallet@cy-tech.fr;15;9,701;"FT ";"DS ";"BI ";"IAC ";"HPDA ";IAP;TOOIDu;Daniel.Mallet;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;FT;
Olivie-Philippine;Diallo;Olivie-PhilippineDiallo@cy-tech.fr;15;10,114;"FT ";"DS ";"IAC ";"BI ";"IAP ";HPDA;dG9Vfn;Olivie-Philippine.Diallo;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;FT;
Agnès;de;Agnèsde@cy-tech.fr;15;9,68;"IAC ";"DS ";"FT ";"BI ";"IAP ";HPDA;v4Z6VQ;Agnès.de;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;IAC;
Jérôme;Pichon;JérômePichon@cy-tech.fr;15;6,565;"FT ";"DS ";"IAC ";"IAP ";"HPDA ";BI;SnkDR5;Jérôme.Pichon;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;FT;
Édouard;Nicolas;ÉdouardNicolas@cy-tech.fr;15;9,535;"FT ";"DS ";"BI ";"HPDA ";"IAC ";IAP;8W2Ktg;Édouard.Nicolas;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;FT;
Zacharie;Loiseau;ZacharieLoiseau@cy-tech.fr;15;9,519;"IAC ";"DS ";"BI ";"FT ";"IAP ";HPDA;ko2BRg;Zacharie.Loiseau;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;IAC;
Suzanne;Lebon;SuzanneLebon@cy-tech.fr;15;9,514;"IAC ";"DS ";"FT ";"BI ";"IAP ";HPDA;nAjRjg;Suzanne.Lebon;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;IAC;
Océane;Guyon-Dumont;OcéaneGuyon-Dumont@cy-tech.fr;15;9,443;"FT ";"IAC ";"BI ";"DS ";"IAP ";HPDA;A964Nw;Océane.Guyon-Dumont;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;FT;
René;Simon;RenéSimon@cy-tech.fr;15;9,441;"DS ";"IAC ";"HPDA ";"IAP ";"FT ";BI;I-6263;René.Simon;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;DS;
Alexandre;Lambert;AlexandreLambert@cy-tech.fr;15;7,884;"BI ";"FT ";"IAP ";"HPDA ";"DS ";IAC;sQx7e8;Alexandre.Lambert;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;BI;
Frédéric;Pages;FrédéricPages@cy-tech.fr;0;0;"DS ";"IAC ";"HPDA ";"IAP ";"BI ";FT;M1aRtc;Frédéric.Pages;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;HPDA;
Bernadette;Le;BernadetteLe@cy-tech.fr;15;10,065;"FT ";"DS ";"IAC ";"IAP ";"HPDA ";BI;HVgA9H;Bernadette.Le;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;FT;
Daniel;Perrier;DanielPerrier@cy-tech.fr;15;9,038;"HPDA ";"DS ";"BI ";"IAP ";"IAC ";FT;@NprYX;Daniel.Perrier;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;HPDA;
Daniel-Bernard;Arnaud;Daniel-BernardArnaud@cy-tech.fr;15;8,779;"DS ";"FT ";"BI ";"IAC ";"HPDA ";IAP;pGzXiS;Daniel-Bernard.Arnaud;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;DS;
Capucine;Bertrand;CapucineBertrand@cy-tech.fr;0;0;"BI ";"IAP ";"DS ";"HPDA ";"FT ";IAC;3R5gVV;Capucine.Bertrand;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;BI;
Antoine;Dupont;AntoineDupont@cy-tech.fr;15;8,86;"DS ";"FT ";"IAC ";"BI ";"IAP ";HPDA;YhN54T;Antoine.Dupont;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;DS;
Thierry;Roux;ThierryRoux@cy-tech.fr;15;8,159;"BI ";"FT ";"DS ";"IAC ";"HPDA ";IAP;viQ!ns;Thierry.Roux;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;BI;
Édith;Fischer;ÉdithFischer@cy-tech.fr;15;8,738;"FT ";"IAC ";"DS ";"BI ";"IAP ";HPDA;yx!!hC;Édith.Fischer;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;FT;
Alain-Thibault;Cordier;Alain-ThibaultCordier@cy-tech.fr;15;8,15;"FT ";"DS ";"BI ";"IAC ";"HPDA ";IAP;BSc1My;Alain-Thibault.Cordier;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;FT;
Victoire;Guichard;VictoireGuichard@cy-tech.fr;15;7,85;"FT ";"BI ";"DS ";"IAC ";"HPDA ";IAP;zPJHpR;Victoire.Guichard;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;FT;
Michel;Laroche;MichelLaroche@cy-tech.fr;15;7,207;"IAP ";"HPDA ";"FT ";"DS ";"BI ";IAC;7TTo0b;Michel.Laroche;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;IAP;
