prenom;nom;login;"ECTS acquis";Moyenne;"Choix 1";"Choix 2";"Choix 3";"Choix 4";"Choix 5";"Choix 6";"Choix 7";"Choix 8";password;pseudo;"profile picture";"birth date";adress;"attributed option";"pseudo bloquee"
Lucas;Renault-Jean;LucasRenault-Jean@cy-tech.fr;30;14,207;"IAC ";"BI ";"ICC ";"CS ";"VISUA ";"IAP ";"INEM ";HPDA;3t_7UE;Lucas.Renault-Jean;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;IAC;
Gabriel;du;Gabrieldu@cy-tech.fr;30;14,198;"ICC ";"IAP ";"HPDA ";"CS ";"IAC ";"VISUA ";"INEM ";BI;lVcua_;Gabriel.du;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;ICC;
Anaïs;de;Anaïsde@cy-tech.fr;30;14,185;"VISUA ";"CS ";"INEM ";"IAC ";"BI ";"ICC ";"HPDA ";IAP;D51JN1;Anaïs.de;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;VISUA;
Agathe;Techer;AgatheTecher@cy-tech.fr;30;14,182;"CS ";"IAC ";"BI ";"ICC ";"INEM ";"VISUA ";"IAP ";HPDA;nHVaym;Agathe.Techer;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;CS;
Étienne;du;Étiennedu@cy-tech.fr;30;14,17;"CS ";"IAC ";"INEM ";"VISUA ";"BI ";"ICC ";"IAP ";HPDA;kcNHOo;Étienne.du;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;CS;
Andrée;Richard;AndréeRichard@cy-tech.fr;30;14,137;"IAP ";"CS ";"IAC ";"HPDA ";"INEM ";"ICC ";"BI ";VISUA;_pZU3l;Andrée.Richard;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;IAP;
Antoinette;Chevallier;AntoinetteChevallier@cy-tech.fr;30;14,125;"CS ";"INEM ";"BI ";"IAC ";"VISUA ";"IAP ";"HPDA ";ICC;pSq!Mz;Antoinette.Chevallier;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;CS;
Alphonse;Le;AlphonseLe@cy-tech.fr;30;14,121;"BI ";"IAC ";"CS ";"VISUA ";"HPDA ";"IAP ";"ICC ";INEM;vBr0LN;Alphonse.Le;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;BI;
Lucas;Maillard;LucasMaillard@cy-tech.fr;30;13,923;"BI ";"INEM ";"CS ";"IAC ";"VISUA ";"IAP ";"ICC ";HPDA;_TFq-A;Lucas.Maillard;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;BI;
André;Leleu;AndréLeleu@cy-tech.fr;30;13,798;"CS ";"INEM ";"IAC ";"ICC ";"BI ";"VISUA ";"IAP ";HPDA;ffrWON;André.Leleu;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;CS;
Emmanuel;Riou;EmmanuelRiou@cy-tech.fr;30;13,785;"CS ";"IAC ";"VISUA ";"INEM ";"BI ";"IAP ";"ICC ";HPDA;yJ@2xn;Emmanuel.Riou;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;CS;
David;Lesage;DavidLesage@cy-tech.fr;30;13,775;"VISUA ";"CS ";"IAC ";"ICC ";"INEM ";"IAP ";"BI ";HPDA;rzQrpP;David.Lesage;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;VISUA;
Grégoire;Dubois;GrégoireDubois@cy-tech.fr;30;13,753;"CS ";"VISUA ";"INEM ";"IAC ";"ICC ";"BI ";"IAP ";HPDA;1B1zv_;Grégoire.Dubois;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;CS;
Paulette;Leclercq;PauletteLeclercq@cy-tech.fr;30;13,729;"ICC ";"IAP ";"IAC ";"VISUA ";"INEM ";"CS ";"BI ";HPDA;uPO0xL;Paulette.Leclercq;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;ICC;
Thierry;Faure;ThierryFaure@cy-tech.fr;30;13,724;"IAP ";"HPDA ";"BI ";"ICC ";"IAC ";"VISUA ";"INEM ";CS;871hv!;Thierry.Faure;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;IAP;
Pierre;Boyer;PierreBoyer@cy-tech.fr;30;13,718;"INEM ";"CS ";"IAC ";"VISUA ";"IAP ";"BI ";"ICC ";HPDA;k0i-0X;Pierre.Boyer;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;INEM;
Éric;Benard-Charpentier;ÉricBenard-Charpentier@cy-tech.fr;30;13,689;"IAC ";"CS ";"ICC ";"IAP ";"VISUA ";"INEM ";"BI ";HPDA;4O6mSt;Éric.Benard-Charpentier;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;IAC;
Marcelle;Gauthier-Martineau;MarcelleGauthier-Martineau@cy-tech.fr;30;13,572;"ICC ";"INEM ";"IAP ";"CS ";"IAC ";"VISUA ";"BI ";HPDA;yi!o!t;Marcelle.Gauthier-Martineau;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;ICC;
Christiane;Delmas;ChristianeDelmas@cy-tech.fr;30;13,454;"CS ";"IAC ";"INEM ";"VISUA ";"ICC ";"BI ";"IAP ";HPDA;GwFm63;Christiane.Delmas;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;CS;
Corinne;Cousin;CorinneCousin@cy-tech.fr;30;13,436;"CS ";"ICC ";"IAP ";"IAC ";"INEM ";"HPDA ";"BI ";VISUA;sO_wxC;Corinne.Cousin;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;CS;
William;du;Williamdu@cy-tech.fr;30;13,426;"BI ";"INEM ";"CS ";"VISUA ";"IAC ";"IAP ";"HPDA ";ICC;kp6Y2Q;William.du;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;BI;
Renée;Maurice;RenéeMaurice@cy-tech.fr;30;13,418;"INEM ";"IAP ";"IAC ";"VISUA ";"CS ";"HPDA ";"ICC ";BI;wAmaVb;Renée.Maurice;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;INEM;
Zacharie;Weber;ZacharieWeber@cy-tech.fr;30;13,371;"ICC ";"CS ";"IAP ";"HPDA ";"INEM ";"BI ";"IAC ";VISUA;VVlL2O;Zacharie.Weber;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;ICC;
Louis;Rousseau;LouisRousseau@cy-tech.fr;30;13,354;"VISUA ";"INEM ";"IAC ";"BI ";"CS ";"IAP ";"ICC ";HPDA;0CS9jR;Louis.Rousseau;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;VISUA;
Philippe;Hamel;PhilippeHamel@cy-tech.fr;30;13,291;"ICC ";"IAP ";"CS ";"IAC ";"VISUA ";"HPDA ";"INEM ";BI;MiQtRi;Philippe.Hamel;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;ICC;
Élise;Mercier;ÉliseMercier@cy-tech.fr;30;13,287;"HPDA ";"IAC ";"IAP ";"CS ";"VISUA ";"INEM ";"ICC ";BI;4hURAM;Élise.Mercier;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;HPDA;
Bernard;Chauvet;BernardChauvet@cy-tech.fr;30;13,278;"IAP ";"IAC ";"ICC ";"INEM ";"CS ";"VISUA ";"HPDA ";BI;-UgX33;Bernard.Chauvet;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;IAP;
Théodore;Pasquier;ThéodorePasquier@cy-tech.fr;30;13,274;"CS ";"IAC ";"VISUA ";"IAP ";"ICC ";"HPDA ";"BI ";INEM;gn3Jnw;Théodore.Pasquier;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;CS;
Adèle;Begue;AdèleBegue@cy-tech.fr;30;13,236;"IAC ";"BI ";"INEM ";"IAP ";"HPDA ";"CS ";"VISUA ";ICC;LEFDtO;Adèle.Begue;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;IAC;
Adrien;Dumont;AdrienDumont@cy-tech.fr;30;13,209;"INEM ";"CS ";"VISUA ";"ICC ";"IAP ";"IAC ";"HPDA ";BI;5cUo@U;Adrien.Dumont;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;INEM;
Gilbert;Ferrand-Texier;GilbertFerrand-Texier@cy-tech.fr;30;13,16;"CS ";"ICC ";"IAP ";"IAC ";"INEM ";"VISUA ";"BI ";HPDA;J2palt;Gilbert.Ferrand-Texier;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;CS;
Anastasie;Rocher;AnastasieRocher@cy-tech.fr;30;13,151;"IAP ";"ICC ";"HPDA ";"IAC ";"BI ";"CS ";"INEM ";VISUA;oRaNxw;Anastasie.Rocher;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;IAP;
Franck;Le;FranckLe@cy-tech.fr;30;13,115;"ICC ";"IAP ";"CS ";"IAC ";"INEM ";"HPDA ";"BI ";VISUA;-E@VHq;Franck.Le;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;ICC;
Michel;Renault;MichelRenault@cy-tech.fr;30;13,111;"HPDA ";"IAP ";"IAC ";"CS ";"ICC ";"BI ";"INEM ";VISUA;B-_cTe;Michel.Renault;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;HPDA;
Margaud-Laure;Wagner;Margaud-LaureWagner@cy-tech.fr;30;13,095;"ICC ";"INEM ";"IAP ";"HPDA ";"IAC ";"VISUA ";"CS ";BI;lwHNJD;Margaud-Laure.Wagner;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;ICC;
Suzanne;de;Suzannede@cy-tech.fr;30;13,063;"CS ";"IAC ";"INEM ";"BI ";"VISUA ";"IAP ";"ICC ";HPDA;IpgnHc;Suzanne.de0;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;CS;
David;Ferrand;DavidFerrand@cy-tech.fr;30;13,017;"CS ";"INEM ";"BI ";"ICC ";"IAC ";"IAP ";"HPDA ";VISUA;6PFeL2;David.Ferrand;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;CS;
François;Duhamel;FrançoisDuhamel@cy-tech.fr;30;13,014;"CS ";"ICC ";"IAP ";"VISUA ";"INEM ";"IAC ";"BI ";HPDA;J2oQX3;François.Duhamel;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;CS;
Franck;Blot-Barbier;FranckBlot-Barbier@cy-tech.fr;30;12,99;"CS ";"IAC ";"VISUA ";"IAP ";"ICC ";"HPDA ";"INEM ";BI;Lru4pf;Franck.Blot-Barbier;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;CS;
Benjamin;Martins;BenjaminMartins@cy-tech.fr;30;12,989;"IAC ";"IAP ";"VISUA ";"CS ";"INEM ";"HPDA ";"ICC ";BI;LnPrsQ;Benjamin.Martins;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;IAC;
Hugues;du;Huguesdu@cy-tech.fr;30;12,979;"IAP ";"HPDA ";"IAC ";"ICC ";"CS ";"INEM ";"VISUA ";BI;TO8FMh;Hugues.du;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;IAP;
Joséphine;Pons-Alves;JoséphinePons-Alves@cy-tech.fr;30;12,961;"IAC ";"VISUA ";"CS ";"ICC ";"BI ";"INEM ";"IAP ";HPDA;1VTfPf;Joséphine.Pons-Alves;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;IAC;
Diane;Martin;DianeMartin@cy-tech.fr;30;12,893;"ICC ";"CS ";"INEM ";"VISUA ";"HPDA ";"BI ";"IAP ";IAC;yFYpvU;Diane.Martin;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;ICC;
Auguste;Fournier;AugusteFournier@cy-tech.fr;30;12,886;"IAC ";"VISUA ";"BI ";"HPDA ";"ICC ";"IAP ";"INEM ";CS;vqYuVV;Auguste.Fournier;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;IAC;
Théodore;Louis;ThéodoreLouis@cy-tech.fr;30;12,877;"IAC ";"IAP ";"CS ";"VISUA ";"HPDA ";"ICC ";"BI ";INEM;rBgRe@;Théodore.Louis;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;IAC;
Chantal;Joubert;ChantalJoubert@cy-tech.fr;30;12,875;"INEM ";"IAC ";"VISUA ";"CS ";"IAP ";"ICC ";"BI ";HPDA;GdIb4k;Chantal.Joubert;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;INEM;
Inès;Bouvet;InèsBouvet@cy-tech.fr;30;12,822;"IAC ";"INEM ";"VISUA ";"CS ";"IAP ";"HPDA ";"BI ";ICC;uFDAGt;Inès.Bouvet;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;IAC;
Sylvie;Le;SylvieLe@cy-tech.fr;30;12,802;"CS ";"IAC ";"INEM ";"VISUA ";"BI ";"IAP ";"HPDA ";ICC;wv!60x;Sylvie.Le;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;CS;
Anouk-Pénélope;Ollivier;Anouk-PénélopeOllivier@cy-tech.fr;30;12,756;"INEM ";"CS ";"IAC ";"VISUA ";"BI ";"IAP ";"ICC ";HPDA;@Yk-IR;Anouk-Pénélope.Ollivier;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;INEM;
Olivie;Evrard;OlivieEvrard@cy-tech.fr;30;12,689;"INEM ";"CS ";"IAC ";"VISUA ";"BI ";"IAP ";"ICC ";HPDA;LQ2hel;Olivie.Evrard;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;INEM;
Augustin;Roche;AugustinRoche@cy-tech.fr;30;12,601;"VISUA ";"CS ";"IAC ";"INEM ";"HPDA ";"IAP ";"ICC ";BI;hUfCgV;Augustin.Roche;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;VISUA;
Marcelle;du;Marcelledu@cy-tech.fr;30;12,394;"IAC ";"CS ";"IAP ";"BI ";"ICC ";"HPDA ";"INEM ";VISUA;Zjw8hw;Marcelle.du;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;IAC;
Antoine;Loiseau;AntoineLoiseau@cy-tech.fr;30;12,307;"IAC ";"BI ";"VISUA ";"ICC ";"INEM ";"CS ";"HPDA ";IAP;zcYkui;Antoine.Loiseau;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;IAC;
Jérôme;Pottier;JérômePottier@cy-tech.fr;30;12,294;"CS ";"BI ";"IAC ";"HPDA ";"ICC ";"INEM ";"VISUA ";IAP;8NR7wW;Jérôme.Pottier;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;CS;
Julie;Lesage;JulieLesage@cy-tech.fr;30;12,279;"VISUA ";"INEM ";"IAC ";"CS ";"IAP ";"BI ";"HPDA ";ICC;ARdIK4;Julie.Lesage;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;VISUA;
Jacques;Guibert;JacquesGuibert@cy-tech.fr;30;12,247;"IAP ";"IAC ";"VISUA ";"INEM ";"HPDA ";"ICC ";"CS ";BI;nnZOp6;Jacques.Guibert;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;IAP;
Paulette-Valérie;Albert;Paulette-ValérieAlbert@cy-tech.fr;30;12,222;"ICC ";"IAP ";"HPDA ";"CS ";"IAC ";"INEM ";"BI ";VISUA;r3P7vh;Paulette-Valérie.Albert;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;ICC;
Antoine;Lefort-Letellier;AntoineLefort-Letellier@cy-tech.fr;30;12,126;"INEM ";"CS ";"IAP ";"IAC ";"BI ";"HPDA ";"ICC ";VISUA;y2gjPv;Antoine.Lefort-Letellier;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;INEM;
Josette;de;Josettede@cy-tech.fr;30;11,888;"CS ";"BI ";"IAC ";"INEM ";"VISUA ";"HPDA ";"IAP ";ICC;e2UK@y;Josette.de;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;CS;
Pénélope;Deschamps;PénélopeDeschamps@cy-tech.fr;30;11,881;"IAC ";"IAP ";"HPDA ";"CS ";"ICC ";"VISUA ";"INEM ";BI;MCgGcS;Pénélope.Deschamps;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;IAC;
Thérèse;Meyer;ThérèseMeyer@cy-tech.fr;30;11,74;"CS ";"INEM ";"IAC ";"ICC ";"IAP ";"VISUA ";"BI ";HPDA;OUZWIW;Thérèse.Meyer;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;CS;
Marcel;Guyot;MarcelGuyot@cy-tech.fr;30;11,629;"CS ";"INEM ";"IAC ";"IAP ";"HPDA ";"ICC ";"BI ";VISUA;d6fan@;Marcel.Guyot;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;CS;
Daniel;Bernard;DanielBernard@cy-tech.fr;30;11,59;"IAP ";"ICC ";"VISUA ";"BI ";"IAC ";"CS ";"INEM ";HPDA;AEipzi;Daniel.Bernard;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;IAP;
Julie;Fernandez;JulieFernandez@cy-tech.fr;30;11,349;"ICC ";"CS ";"HPDA ";"IAP ";"IAC ";"INEM ";"VISUA ";BI;rNrgnd;Julie.Fernandez;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;ICC;
Hugues;Lesage;HuguesLesage@cy-tech.fr;30;11,169;"INEM ";"IAC ";"CS ";"IAP ";"ICC ";"VISUA ";"BI ";HPDA;5hGDd_;Hugues.Lesage;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;INEM;
Zoé;Guibert-Huet;ZoéGuibert-Huet@cy-tech.fr;30;11,063;"INEM ";"BI ";"VISUA ";"CS ";"ICC ";"HPDA ";"IAC ";IAP;5r0qKz;Zoé.Guibert-Huet;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;INEM;
Augustin;Gauthier;AugustinGauthier@cy-tech.fr;15;14,286;"INEM ";"CS ";"VISUA ";"IAP ";"IAC ";"ICC ";"BI ";HPDA;Xpwpqc;Augustin.Gauthier;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;INEM;
Luce;Le;LuceLe@cy-tech.fr;15;13,628;"ICC ";"INEM ";"CS ";"BI ";"VISUA ";"IAP ";"IAC ";HPDA;yTeELr;Luce.Le;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;ICC;
Stéphane;Boulanger;StéphaneBoulanger@cy-tech.fr;15;12,471;"CS ";"INEM ";"ICC ";"IAP ";"IAC ";"HPDA ";"BI ";VISUA;V2eZ7F;Stéphane.Boulanger;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;CS;
Alfred;Loiseau;AlfredLoiseau@cy-tech.fr;15;12,233;"IAC ";"CS ";"HPDA ";"VISUA ";"BI ";"INEM ";"IAP ";ICC;o9POvU;Alfred.Loiseau;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;IAC;
Brigitte;Le;BrigitteLe@cy-tech.fr;15;12,217;"VISUA ";"CS ";"IAC ";"INEM ";"BI ";"IAP ";"ICC ";HPDA;_uGsi@;Brigitte.Le;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;VISUA;
Alice;Guillot;AliceGuillot@cy-tech.fr;15;12,06;"CS ";"VISUA ";"INEM ";"IAC ";"IAP ";"BI ";"ICC ";HPDA;ef2Cs-;Alice.Guillot;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;CS;
Lucy;Le;LucyLe@cy-tech.fr;15;11,79;"CS ";"IAC ";"BI ";"INEM ";"IAP ";"ICC ";"VISUA ";HPDA;BZXlH@;Lucy.Le;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;CS;
Madeleine;Charpentier-Leroux;MadeleineCharpentier-Leroux@cy-tech.fr;15;11,763;"IAC ";"CS ";"BI ";"VISUA ";"INEM ";"HPDA ";"IAP ";ICC;6A3azr;Madeleine.Charpentier-Leroux;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;IAC;
Emmanuel;du;Emmanueldu@cy-tech.fr;15;11,617;"IAC ";"BI ";"HPDA ";"IAP ";"VISUA ";"CS ";"INEM ";ICC;03B49R;Emmanuel.du;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;IAC;
Bernard;de;Bernardde@cy-tech.fr;15;11,602;"CS ";"INEM ";"BI ";"IAC ";"VISUA ";"IAP ";"ICC ";HPDA;G5t4tE;Bernard.de;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;CS;
Céline;Auger;CélineAuger@cy-tech.fr;15;11,535;"IAC ";"INEM ";"CS ";"BI ";"VISUA ";"HPDA ";"IAP ";ICC;VBg08T;Céline.Auger;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;IAC;
Auguste;Picard;AugustePicard@cy-tech.fr;15;11,53;"IAP ";"ICC ";"IAC ";"CS ";"VISUA ";"INEM ";"HPDA ";BI;0jLaR-;Auguste.Picard;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;IAP;
Augustin;Allain;AugustinAllain@cy-tech.fr;15;11,513;"CS ";"IAC ";"BI ";"INEM ";"VISUA ";"ICC ";"IAP ";HPDA;NJercp;Augustin.Allain;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;CS;
Aurore;Pichon;AurorePichon@cy-tech.fr;15;11,41;"CS ";"ICC ";"INEM ";"IAC ";"IAP ";"VISUA ";"HPDA ";BI;LyY2Tg;Aurore.Pichon;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;CS;
Danielle-Joséphine;Bruneau;Danielle-JoséphineBruneau@cy-tech.fr;15;11,389;"CS ";"INEM ";"ICC ";"VISUA ";"IAP ";"IAC ";"HPDA ";BI;jgVlZs;Danielle-Joséphine.Bruneau;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;CS;
Océane;Nguyen;OcéaneNguyen@cy-tech.fr;15;11,37;"CS ";"HPDA ";"ICC ";"IAP ";"INEM ";"IAC ";"BI ";VISUA;2gjEfg;Océane.Nguyen;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;CS;
Alexandre;Perret;AlexandrePerret@cy-tech.fr;15;11,305;"HPDA ";"IAP ";"IAC ";"INEM ";"VISUA ";"CS ";"ICC ";BI;NEN-af;Alexandre.Perret;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;HPDA;
Gabrielle;Vasseur;GabrielleVasseur@cy-tech.fr;15;10,902;"INEM ";"IAP ";"IAC ";"ICC ";"VISUA ";"CS ";"BI ";HPDA;efhgTH;Gabrielle.Vasseur;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;INEM;
